Energy(GeV), flux(numubar/m^{2}/P.O.T/GeV), err
72.7,5.93e-10,5.97e-10
72.8,0,0
72.8,0,0
73,0,0
73,0,0
73.2,5.27e-10,5.3e-10
73.2,0,0
73.3,0,0
73.5,0,0
73.5,0,0
73.7,0,0
73.8,0,0
73.8,0,0
74,0,0
74,0,0
74.2,0,0
74.2,3.14e-10,3.16e-10
74.3,4.78e-10,4.82e-10
74.5,0,0
74.5,0,0
74.7,0,0
74.8,0,0
74.8,0,0
75,0,0
75,0,0
75.2,0,0
75.2,0,0
75.3,0,0
75.5,8.18e-10,8.24e-10
75.5,0,0
75.7,0,0
75.8,0,0
75.8,0,0
76,0,0
76,0,0
76.2,5.74e-10,5.78e-10
76.2,0,0
76.3,0,0
76.5,0,0
76.5,0,0
76.7,0,0
76.8,0,0
76.9,0,0
77,0,0
77,0,0
77.2,4.61e-10,4.64e-10
77.2,0,0
77.4,0,0
77.5,0,0
77.5,0,0
77.7,0,0
77.8,0,0
77.9,0,0
78,0,0
78,0,0
78.2,5.28e-10,5.32e-10
78.2,0,0
78.4,0,0
78.5,0,0
78.5,0,0
78.7,0,0
78.8,0,0
78.9,0,0
79,0,0
79,0,0
79.2,0,0
79.2,0,0
79.4,0,0
79.5,0,0
79.5,0,0
79.7,0,0
79.8,0,0
79.9,0,0
80,0,0
80,0,0
80.2,0,0
80.2,0,0
80.4,0,0
80.5,0,0
80.5,0,0
80.7,0,0
80.8,0,0
80.9,0,0
81,0,0
81,0,0
81.2,0,0
81.2,0,0
81.4,0,0
81.5,0,0
81.5,0,0
81.7,0,0
81.8,2.87e-10,2.89e-10
81.9,0,0
82,0,0
82,0,0
82.2,0,0
82.2,0,0
82.4,0,0
82.5,0,0
82.5,0,0
82.7,0,0
82.8,0,0
82.9,0,0
83,0,0
83,0,0
83.2,0,0
83.2,0,0
83.4,0,0
83.5,0,0
83.5,0,0
83.7,0,0
83.8,0,0
83.9,0,0
84,0,0
84,0,0
84.2,0,0
84.2,0,0
84.4,0,0
84.5,0,0
84.5,0,0
84.7,3.17e-10,3.19e-10
84.8,0,0
84.9,0,0
85,0,0
85,0,0
85.2,0,0
85.2,0,0
85.4,0,0
85.5,0,0
85.5,0,0
85.7,0,0
85.8,0,0
85.9,0,0
86,0,0
86,0,0
86.2,0,0
86.2,0,0
86.4,0,0
86.5,0,0
86.5,0,0
86.7,0,0
86.8,0,0
86.9,0,0
87,0,0
87,0,0
87.2,0,0
87.2,0,0
87.4,0,0
87.5,0,0
87.5,0,0
87.7,0,0
87.8,0,0
87.9,0,0
88,0,0
88,0,0
88.2,0,0
88.2,0,0
88.4,0,0
88.5,2.64e-10,2.67e-10
88.5,0,0
88.7,0,0
88.8,0,0
88.9,0,0
89,0,0
89,0,0
89.2,0,0
89.2,0,0
89.4,0,0
89.5,0,0
89.5,0,0
89.7,0,0
89.8,0,0
89.9,0,0
90,0,0
90,0,0
90.2,0,0
90.2,0,0
90.4,0,0
90.5,0,0
90.5,0,0
90.7,0,0
90.8,0,0
90.9,0,0
91,0,0
91,0,0
91.2,0,0
91.2,0,0
91.4,0,0
91.5,0,0
91.5,2.53e-10,2.55e-10
91.7,0,0
91.8,0,0
91.9,0,0
92,0,0
92,0,0
92.2,0,0
92.2,0,0
92.4,0,0
92.5,0,0
92.5,0,0
92.7,0,0
92.8,0,0
92.9,0,0
93,0,0
93,0,0
93.2,0,0
93.2,0,0
93.4,0,0
93.5,0,0
